Section,Type,Name,Tier,PriceCr,Perk,Description,Use,Attunement,Where To Find
Useful,,Nano-Stim Kit,T5,1200,Heal 1d6 HP.,Medical-grade supplies and programmable injector.,Action on self or adjacent ally; consumes 1 use.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Trauma Foam Canister,T5,2000,Prevent bleedout this scene.,Expanding coagulant seals wounds on contact.,Action on a creature at 0 HP.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Cleanse Ampoule,T5,2800,End one minor condition on self.,Dual-phase detox shot.,Bonus action to inject.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Quick-Patch Field Bandage,T5,3600,Gain 5 temp HP until fight ends.,Rapid-fuse fibers stabilize impacts.,Action on self/adjacent ally.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Spark Flares x3,T5,4400,Advantage on one Search in darkness.,High-candela flare sticks.,Action to ignite; 10 min burn.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Grapple Line Wrist-head,T5,5200,Climb checks at advantage for 10 min.,Mini head with auto-reel line.,Action to anchor ‰¤60 ft.; reel as move.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Collapsible Climbing Spikes,T5,5900,Ignore basic sheer surfaces.,Folding palm spikes bite into walls.,Bonus action to deploy; 10 min.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Signal Mirror Tile,T5,6700,Ping ally up to 2 miles once.,Polished shard-coded signaling tile.,Action to flash code.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Ration Brick Weekpack,T5,7500,Ignore food checks this week.,Dense nutrient bricks.,Passive while consumed over a week.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Purifier Straw,T5,8300,Ignore water hazard checks 1 day.,Inline filter kills pathogens.,Action to draw water.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Multi-Tool Mk1,T5,9100,+1 to one Tools check per scene.,"Compact pliers, driver, edge.",Use during a Tools check.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Flex-Torch Cutter,T5,9800,Open light locks in 1 minute.,Heat wire torch on flex-arm.,1 minute to cut; fuel limited.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Lockpick Filaments,T5,10600,+1 to lockpicking.,Memory-metal micro picks.,Action; add +1 to check.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Crowd Masker Spray,T5,11400,1 min advantage avoiding recognition.,Aerosol micro-glitter confuses cams.,Bonus action to apply.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Optic Flash Grenade x2,T5,12200,Blind 1 round (CON save).,Pin-pull flash pellet.,Action to throw (30 ft.).,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Smoke Capsule x3,T5,13000,Create light cover 2 rounds.,Puff-smoke spheres.,Action to throw (30 ft.).,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Shock Baton Compact,T5,13800,Once per scene add Stun (WIS save).,Telescoping baton with shock head.,Declare before hit.,Optional: 10 minutes focus + 3 SP imprint.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Data Shard Blank,T5,14500,Carry 1 secure file untraceable.,One-time write anti-tamper chip.,Action to write/read.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Comms Tap Clip,T5,15300,Intercept 1 unsecured channel this scene.,Clip-on RF sniffer.,Bonus action to tune.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Micro-Drone Scout,T5,16100,10 min remote peek; +1 Passive Perception.,Palm quad with stabilized cam.,Action to launch; bonus to direct.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Faraday Pouch,T5,16900,Item inside cannot be scanned.,Conductive weave pouch.,Passive for item inside.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Adhesive Bootsoles,T5,17700,Advantage on Stealth 1 min.,Tacky microtread soles.,Bonus action to activate.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Thermal Blanket Foil,T5,18400,Resist environmental cold checks.,Reflective emergency foil.,Use when resting/exposed.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Medbay Fast-Pass,T5,19200,Move to front of clinic queue.,Priority band with QR.,Present at clinic intake.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Transit Badge City,T5,20000,Free metro/ferries 1 month.,Coded transit badge.,Flash on entry.,None required.,"PFV quartermaster, neighborhood outfitters, city surplus auctions."
Useful,,Auto-Injector Resin,T4,25000,Heal 2d6; remove Burn/Freeze.,Programmable dual-resin cartridge.,Action to inject.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Stabilizer Collar,T4,28900,Ignore Stun once per scene.,Neck brace with micro-gyros.,Reaction when stunned.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Echo Recorder Coin,T4,32900,Replay last 10 sec of audio.,Shard-memory coin.,Action to record/play.,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,EMP Charge Pocket,T4,36800,Disrupt 1 device/drone (INT save).,Pocket coil charge.,Action to place/throw (20 ft.).,None required.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
Useful,,Holo-Projector Palm,T4,40800,Create decoy for 1 round.,Palm holo throws silhouette.,Bonus action to project.,Optional: 10 minutes focus + 3 SP imprint.,"PFV elite cases, licensed vendors, O.M.N.I. requisition with return clause."
